n,train_acc,val_acc,optim_func,learning_rate,loss_func,epochs,batch_size,model_struct,dropout
12,0.775,0.779,Adagrad,0.07,BCE,50,100,"[12, 15, 12, 4, 1]","[0.2, 0.2, 0.2]"
12,0.777,0.778,Adagrad,0.07,BCE,50,100,"[12, 15, 12, 4, 1]","[0.2, 0.2, 0.2]"
12,0.684,0.683,Adagrad,0.07,BCE,50,100,"[12, 15, 12, 4, 1]","[0.3, 0.2, 0.1]"
12,0.636,0.636,Adagrad,0.07,BCE,50,100,"[12, 15, 12, 4, 1]","[0.1, 0.2, 0.3]"
12,0.694,0.696,Adagrad,0.1,BCE,50,100,"[12, 15, 12, 4, 1]","[0.2, 0.2, 0.2]"
12,0.508,0.506,Adagrad,0.1,BCE,50,10,"[12, 15, 12, 4, 1]","[0.2, 0.2, 0.2]"
9,0.944,0.944,Adadelta,0.2,BCE,50,8,"[9, 12, 9, 4, 1]","[0.0, 0.0, 0.0]"
15,0.707,0.698,Adadelta,0.1,BCE,50,8,"[15, 15, 12, 8, 4, 1]","[0.0, 0.0, 0.0]"
15,0.817,0.814,Adadelta,0.3,BCE,50,8,"[15, 15, 12, 8, 4, 1]","[0.0, 0.0, 0.0]"
15,0.843,0.845,Adadelta,0.4,BCE,80,8,"[15, 15, 12, 8, 4, 1]","[0.0, 0.0, 0.0]"
15,0.58,0.601,Adadelta,0.4,BCE,50,8,"[15, 15, 12, 8, 4, 1]","[0.2, 0.2, 0.2, 0.2]"
15,0.68,0.683,Adadelta,0.3,BCE,75,8,"[15, 15, 12, 8, 4, 1]","[0.2, 0.2, 0.2, 0.2]"
9,0.945,0.943,Adadelta,0.3,BCE,75,8,"[9, 15, 10, 4, 1]","[0.0, 0.0, 0.0]"
9,0.945,0.946,Adadelta,0.2,BCE,150,8,"[9, 15, 10, 4, 1]","[0.0, 0.0, 0.0]"
9,0.95,0.949,Adadelta,0.25,BCE,200,8,"[9, 15, 10, 4, 1]","[0.0, 0.0, 0.0]"
9,0.95,0.948,Adadelta,0.25,BCE,250,8,"[9, 15, 10, 4, 1]","[0.0, 0.0, 0.0]"
9,0.951,0.951,Adadelta,0.25,BCE,25,8,"[9, 15, 10, 4, 1]","[0.0, 0.0, 0.0]"
12,0.928,0.926,Adadelta,0.3,BCE,25,8,"[12, 15, 10, 4, 1]","[0.0, 0.0, 0.0]"
18,0.844,0.848,Adadelta,0.3,BCE,25,8,"[18, 15, 10, 4, 1]","[0.0, 0.0, 0.0]"
9,0.944,0.945,Adadelta,0.3,BCE,25,8,"[9, 15, 8, 1]","[0.0, 0.0, 0.0]"
9,0.944,0.945,Adadelta,0.3,BCE,50,8,"[9, 15, 8, 1]","[0.0, 0.0, 0.0]"
12,0.823,0.815,Adadelta,0.3,BCE,25,8,"[12, 15, 8, 1]","[0.0, 0.0, 0.0]"
15,0.678,0.656,Adadelta,0.3,BCE,25,8,"[15, 15, 10, 4, 1]","[0.0, 0.0, 0.0]"
15,0.899,0.888,Adadelta,0.5,BCE,25,8,"[15, 15, 10, 4, 1]","[0.0, 0.0, 0.0]"
15,0.899,0.887,Adadelta,0.6,BCE,25,8,"[15, 15, 10, 4, 1]","[0.0, 0.0, 0.0]"
18,0.847,0.845,Adadelta,0.5,BCE,100,8,"[18, 15, 10, 4, 1]","[0.0, 0.0, 0.0]"
24,0.554,0.499,Adadelta,0.5,BCE,100,8,"[24, 15, 10, 4, 1]","[0.0, 0.0, 0.0]"
